 alt,temp,press,dens,Gamma
0.0,288.15,101325.0,1.225,1.400307
40.0,287.89000163604175,100845.3992219763,1.2203027995468507,1.400307
80.0,287.63000654412576,100367.64427826006,1.2156194494823789,1.400307
120.0,287.3700147241904,99891.72969517965,1.210949921204549,1.400307
160.0,287.1100261761738,99417.65001048129,1.206294186145315,1.400307
200.0,286.8500409000142,98945.39977331649,1.2016522157706218,1.400307
240.0,286.5900588956499,98474.97354422748,1.197023981580388,1.400307
280.0,286.3300801630191,98006.36589513341,1.1924094551084947,1.400307
320.0,286.07010470206,97539.5714093163,1.1878086079227728,1.400307
360.0,285.81013251271094,97074.58468140777,1.1832214116249966,1.400307
400.0,285.55016359491003,96611.4003173742,1.1786478378508642,1.400307
440.0,285.2901979485956,96150.01293450399,1.1740878582699965,1.400307
480.0,285.03023557370597,95690.41716139278,1.1695414445859158,1.400307
520.0,284.7702764701792,95232.60763792988,1.1650085685360387,1.400307
560.0,284.5103206379537,94776.57901528453,1.1604892018916648,1.400307
600.0,284.2503680769677,94322.32595589192,1.1559833164579638,1.400307
640.0,283.9904187871594,93869.8431334395,1.1514908840739655,1.400307
680.0,283.73047276846705,93419.12523285286,1.1470118766125468,1.400307
720.0,283.47053002082896,92970.16695028216,1.14254626598042,1.400307
760.0,283.21059054418333,92522.96299308802,1.138094024118121,1.400307
800.0,282.9506543384685,92077.50807982829,1.1336551230000036,1.400307
840.0,282.69072140362266,91633.79694024345,1.1292295346342185,1.400307
880.0,282.4307917395841,91191.82431524321,1.1248172310627058,1.400307
920.0,282.17086534629107,90751.58495689274,1.1204181843611862,1.400307
960.0,281.91094222368184,90313.07362839878,1.116032366639147,1.400307
1000.0,281.6510223716947,89876.28510409572,1.111659750039828,1.400307
1040.0,281.3911057902679,89441.21416943213,1.1073003067402156,1.400307
1080.0,281.1311924793397,89007.85562095675,1.1029540089510281,1.400307
1120.0,280.87128243884837,88576.20426630438,1.0986208289166994,1.400307
1160.0,280.6113756687322,88146.25492418303,1.0943007389153792,1.400307
1200.0,280.3514721689295,87718.00242435913,1.0899937112589089,1.400307
1240.0,280.09157193937847,87291.44160764443,1.0856997182928183,1.400307
1280.0,279.8316749800174,86866.56732588186,1.0814187323963085,1.40067
1320.0,279.57178129078466,86443.37444193219,1.077150725982247,1.40067
1360.0,279.31189087161846,86021.85782965983,1.072895671497149,1.40067
1400.0000000000002,279.0520037224571,85602.01237391916,1.0686535414211669,1.40067
1440.0,278.79211984323877,85183.83297054132,1.0644243082680866,1.40067
1480.0,278.5322392339019,84767.31452631971,1.060207944585304,1.40067
1520.0,278.27236189438474,84352.45195899688,1.0560044229538244,1.40067
1560.0,278.0124878246255,83939.24019725037,1.0518137159882406,1.40067
1600.0,277.7526170245626,83527.67418067927,1.04763579633673,1.40067
1640.0000000000002,277.4927494941342,83117.74885979049,1.0434706366810387,1.40067
1680.0,277.2328852332787,82709.4591959847,1.0393182097364684,1.40067
1720.0,276.9730242419343,82302.8001615433,1.0351784882518704,1.40067
1760.0,276.71316652003935,81897.76673961412,1.0310514450096282,1.40067
1800.0,276.4533120675322,81494.35392419795,1.026937052825648,1.40067
1840.0,276.19346088435105,81092.55672013495,1.022835284549349,1.40067
1880.0000000000002,275.93361297043424,80692.3701430907,1.0187461130636466,1.40067
1920.0,275.6737683257201,80293.78921954305,1.014669511284949,1.40067
1960.0,275.4139269501469,79896.80898676759,1.0106054521631342,1.40067
2000.0,275.15408884365297,79501.42449282497,1.0065539086815503,1.40067
2040.0,274.8942540061766,79107.6307965467,1.0025148538569972,1.40067
2080.0,274.6344224376561,78715.42296752124,0.998488260739712,1.40067
2120.0,274.3745941380298,78324.7960860812,0.9944741024133675,1.40067
2160.0,274.114769107236,77935.74524328866,0.9904723519950478,1.40067
2200.0,273.854947345213,77548.26554092261,0.9864829826352496,1.40067
2240.0,273.5951288518992,77162.35209146439,0.9825059675178597,1.40067
2280.0000000000005,273.3353136272327,76778.00001808438,0.9785412798601469,1.40067
2320.0,273.0755016711521,76395.20445462894,0.9745888929127567,1.40067
2360.0,272.8156929835955,76013.96054560583,0.9706487799596883,1.40067
2400.0,272.55588756450135,75634.26344617132,0.9667209143182909,1.40067
2440.0,272.29608541380793,75256.10832211623,0.9628052693392488,1.40067
2480.0,272.0362865314535,74879.49034985252,0.9589018184065722,1.40067
2520.0,271.7764909173766,74504.40471639982,0.9550105349375843,1.40067
2560.0,271.51669857151524,74130.84661937106,0.9511313923829035,1.40067
2600.0,271.256909493808,73758.81126696031,0.9472643642264463,1.40067
2640.0,270.9971236841931,73388.29387792769,0.9434094239853991,1.40067
2680.0,270.73734114260895,73019.28968158683,0.9395665452102175,1.40067
2720.0,270.4775618689938,72651.79391779087,0.9357357014846103,1.40067
2760.0000000000005,270.217785863286,72285.80183691905,0.9319168664255293,1.40067
2800.0000000000005,269.9580131254239,71921.30869986305,0.9281100136831553,1.40067
2840.0,269.69824365534595,71558.30977801354,0.9243151169408893,1.40067
2880.0,269.4384774529903,71196.80035324652,0.9205321499153383,1.40067
2920.0,269.17871451829535,70836.77571790987,0.9167610863563047,1.40067
2960.0,268.91895485119954,70478.23117480996,0.9130019000467755,1.40067
3000.0,268.65919845164115,70121.16203719776,0.9092545648029082,1.40067
3040.0,268.3994453195585,69765.56362875555,0.9055190544740204,1.40067
3080.0,268.13969545488993,69411.43128358354,0.9017953429425788,1.40067
3120.0,267.8799488575738,69058.76034618603,0.8980834041241857,1.40067
3160.0,267.6202055275486,68707.54617145828,0.89438321196757,1.40067
